"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-01","2012","01","01","","-2.9","","-17.0","","-10.0","","28.0","","0.0","","0.0","","","M","0.9","","10","","30","","41",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-02","2012","01","02","","-17.0","","-27.4","","-22.2","","40.2","","0.0","","","M","","M","0.2","","10","","33","","50",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-03","2012","01","03","","-10.1","","-29.8","","-20.0","","38.0","","0.0","","","M","","M","0.0","","10","","19","","37",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-04","2012","01","04","","-5.1","","-20.5","","-12.8","","30.8","","0.0","","","M","","M","0.6","","9","","29","","37",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-05","2012","01","05","","-15.7","","-27.6","","-21.7","","39.7","","0.0","","","M","","M","1.0","","9","","","","<31",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-06","2012","01","06","","-14.7","","-16.5","","-15.6","","33.6","","0.0","","","M","","M","0.6","","12","","","","<31",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-07","2012","01","07","","-15.5","","-17.7","","-16.6","","34.6","","0.0","","","M","","M","0.6","","11","","","","<31",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-08","2012","01","08","","-5.5","","-26.8","","-16.2","","34.2","","0.0","","","M","","M","0.0","","11","","19","","37",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-09","2012","01","09","","-1.3","","-16.7","","-9.0","","27.0","","0.0","","0.0","","","M","1.6","","11","","20","","39",""
"-87.94","52.20","LANSDOWNE HOUSE (AUT)","6014353","2012-01-10","2012","01","10","","-16.7","","-20.7","","-18.7","","36.7","","0.0","","","M","","M","0.2","","9","","","","<31",""
