"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.72","43.77","GODERICH","6122847","2020-01-01","2020","01","01","","3.0","","-2.7","","0.2","","17.8","","0.0","","","","","","0.0","","2","","20","","52",""
"-81.72","43.77","GODERICH","6122847","2020-01-02","2020","01","02","","6.0","","2.2","","4.1","","13.9","","0.0","","","","","","0.0","","1","","20","","49",""
"-81.72","43.77","GODERICH","6122847","2020-01-03","2020","01","03","","5.2","","1.2","","3.2","","14.8","","0.0","","","","","","0.0","","","","22","","34",""
"-81.72","43.77","GODERICH","6122847","2020-01-04","2020","01","04","","1.3","","-1.1","","0.1","","17.9","","0.0","","","","","","0.0","","","","32","","49",""
"-81.72","43.77","GODERICH","6122847","2020-01-05","2020","01","05","","1.4","","-1.8","","-0.2","","18.2","","0.0","","","","","","5.6","","","","29","","52",""
"-81.72","43.77","GODERICH","6122847","2020-01-06","2020","01","06","","2.3","","-0.7","","0.8","","17.2","","0.0","","","","","","0.5","","7","","27","","61",""
"-81.72","43.77","GODERICH","6122847","2020-01-07","2020","01","07","","3.2","","-2.3","","0.4","","17.6","","0.0","","","","","","0.2","","5","","29","","54",""
"-81.72","43.77","GODERICH","6122847","2020-01-08","2020","01","08","","0.2","","-6.9","","-3.4","","21.4","","0.0","","","","","","0.4","","2","","31","","60",""
"-81.72","43.77","GODERICH","6122847","2020-01-09","2020","01","09","","7.3","","-7.2","","0.1","","17.9","","0.0","","","","","","0.0","","2","","14","","58",""
"-81.72","43.77","GODERICH","6122847","2020-01-10","2020","01","10","","7.5","","5.4","","6.4","","11.6","","0.0","","","","","","0.6","","","","20","","55",""
"-81.72","43.77","GODERICH","6122847","2020-01-11","2020","01","11","","10.9","","-1.5","","4.7","","13.3","","0.0","","","","","","52.7","","","","3","","58",""
